[Thu Oct 13 16:13:32.842076 2016] [:error] [pid 8604] [client 127.0.0.1:54910] PHP Notice:  Undefined index: message in /var/www/mm/contact.php on line 38, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:13:32.846583 2016] [:error] [pid 8604] [client 127.0.0.1:54910] PHP Notice:  Undefined variable: responseArray in /var/www/mm/contact.php on line 81, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:14:22.439529 2016] [:error] [pid 8603] [client 127.0.0.1:54920] PHP Notice:  Undefined index: message in /var/www/mm/contact.php on line 38, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:14:25.711610 2016] [:error] [pid 8601] [client 127.0.0.1:54926] PHP Notice:  Undefined index: message in /var/www/mm/contact.php on line 38, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:14:47.333397 2016] [:error] [pid 8937] [client 127.0.0.1:54930] PHP Notice:  Undefined index: message in /var/www/mm/contact.php on line 38, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:14:58.978368 2016] [:error] [pid 8603] [client 127.0.0.1:54976] PHP Notice:  Undefined index: message in /var/www/mm/contact.php on line 38, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:17:57.905229 2016] [:error] [pid 7770] [client 127.0.0.1:55070] PHP Notice:  Undefined index: name in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:17:57.905268 2016] [:error] [pid 7770] [client 127.0.0.1:55070] PHP Notice:  Undefined index: email in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:20:18.712710 2016] [:error] [pid 9009] [client 127.0.0.1:55116] PHP Notice:  Undefined index: name in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:20:18.712762 2016] [:error] [pid 9009] [client 127.0.0.1:55116] PHP Notice:  Undefined index: email in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:20:56.110277 2016] [:error] [pid 8604] [client 127.0.0.1:55136] PHP Notice:  Undefined index: name in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:20:56.110321 2016] [:error] [pid 8604] [client 127.0.0.1:55136] PHP Notice:  Undefined index: email in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:26:27.526544 2016] [:error] [pid 10596] [client 127.0.0.1:55312] PHP Notice:  Undefined index: name in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:26:27.526601 2016] [:error] [pid 10596] [client 127.0.0.1:55312] PHP Notice:  Undefined index: email in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:26:29.782249 2016] [:error] [pid 10597] [client 127.0.0.1:55316] PHP Notice:  Undefined index: name in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
[Thu Oct 13 16:26:29.782330 2016] [:error] [pid 10597] [client 127.0.0.1:55316] PHP Notice:  Undefined index: email in /var/www/mm/contact.php on line 17, referer: http://dev.mm.academy/index.html
